as_of,n,ic,decile_spread,source,horizon,n_unscoreable
2023-07-07,492,0.15372913671683416,0.008287441753750669,walkforward,5,0
2023-07-14,492,0.07122722794636459,0.009434919234396658,walkforward,5,0
2023-07-21,492,-0.011121676346502418,-0.0056560025003043685,walkforward,5,0
2023-07-28,492,-0.000526571242338343,-0.01865713164442829,walkforward,5,0
2023-08-04,492,-0.11944597872389148,-0.008709773160745782,walkforward,5,0
2023-08-11,492,-0.024305504825744312,-0.01149212571748355,walkforward,5,0
2023-08-18,492,0.06029522852496674,-0.005639329780193282,walkforward,5,0
2023-08-25,492,0.09426421241073805,-0.0005350080997331245,walkforward,5,0
2023-09-01,492,0.05366044229919893,0.00250210995269564,walkforward,5,0
2023-09-08,492,0.06659282309392747,0.0011268307532406531,walkforward,5,0
2023-09-15,492,0.022063597029719034,0.0008128999039034544,walkforward,5,0
2023-09-22,492,0.2786222856920034,0.020345186549465995,walkforward,5,0
2023-09-29,492,0.12304930091269325,0.01379444791515462,walkforward,5,0
2023-10-06,492,-0.0828649425371323,-0.018776002877755,walkforward,5,0
2023-10-13,493,0.002201253011700691,2.826896186345837e-05,walkforward,5,0
2023-10-20,493,0.013275969559714591,0.0015653875566447768,walkforward,5,0
2023-10-27,493,0.08151416162805393,0.01151014471418943,walkforward,5,0
2023-11-03,493,0.1385086415331738,0.021478035478289685,walkforward,5,0
2023-11-10,493,0.0599710251810125,0.008708499762177666,walkforward,5,0
2023-11-17,493,0.11559051966996826,-0.0011460674778557903,walkforward,5,0
2023-11-24,493,0.030197926495775462,0.006415235443731071,walkforward,5,0
2023-12-01,493,-0.09292632652533915,-0.006448863528330679,walkforward,5,0
2023-12-08,493,-0.020342813117795813,0.0057192176782163845,walkforward,5,0
2023-12-15,494,0.03786964254563272,-0.0010526193964937383,walkforward,5,0
2023-12-22,494,-0.06599775087017534,-0.009147999825080758,walkforward,5,0
2023-12-29,494,0.007141522404113298,0.001820341990862267,walkforward,5,0
2024-01-05,494,-0.33274146230268786,-0.03210506811207192,walkforward,5,0
2024-01-12,494,-0.0554281858776692,0.0015653520816426942,walkforward,5,0
