year,n_train,n_test,auc,base_rate
2012,87992,11449,0.4959168042278732,0.5101755611843829
2013,99509,11752,0.5154927258362342,0.5282505105513955
2014,111228,12303,0.5266941814486992,0.5240998130537268
2015,123529,12470,0.5190100585575945,0.5101042502004811
2016,135987,11819,0.5314334703954677,0.5169642101700651
2017,147764,11441,0.5180677211720125,0.5342190367974827
2018,159202,12905,0.5000809803008597,0.48485083301046106
2019,172145,12688,0.5161758562462848,0.5267181588902901
2020,184821,13352,0.5450478354798445,0.5239664469742361
2021,198163,13390,0.518013516433125,0.5325616131441374
2022,211505,13372,0.476040894862874,0.5034400239306013
2023,224863,13376,0.5090868590767762,0.5283343301435407
2024,238214,13120,0.5198945647302724,0.5390243902439025
2025,251435,12109,0.5390750426702171,0.527293748451565
2026,263678,4979,0.5425017908216833,0.5205864631452098
