ticker,n_rows,status
ABK,0,EMPTY
ABMD,0,EMPTY
ABS,0,EMPTY
ACAS,0,EMPTY
ACE,0,EMPTY
ADS,0,EMPTY
AGN,0,EMPTY
AKS,0,EMPTY
ALTR,0,EMPTY
ALXN,0,EMPTY
ANR,0,EMPTY
ANSS,0,EMPTY
APOL,0,EMPTY
ARG,0,EMPTY
ARNC,0,EMPTY
ATVI,0,EMPTY
AVP,0,EMPTY
AYE,0,EMPTY
BCR,0,EMPTY
BHI,0,EMPTY
BIG,0,EMPTY
BJS,0,EMPTY
BMC,0,EMPTY
BRCM,0,EMPTY
BXLT,0,EMPTY
CA,0,EMPTY
CBE,0,EMPTY
CCE,0,EMPTY
CDAY,0,EMPTY
CELG,0,EMPTY
CEPH,0,EMPTY
CERN,0,EMPTY
CFC,0,EMPTY
CFN,0,EMPTY
CHK,0,EMPTY
CMA,0,EMPTY
CMCSK,0,EMPTY
COV,0,EMPTY
CPGX,0,EMPTY
CSC,0,EMPTY
CTLT,0,EMPTY
CTRA,0,EMPTY
CTX,0,EMPTY
CTXS,0,EMPTY
CVC,0,EMPTY
CVH,0,EMPTY
CXO,0,EMPTY
DAY,0,EMPTY
DF,0,EMPTY
DFS,0,EMPTY
DISCA,0,EMPTY
DISCK,0,EMPTY
DISH,0,EMPTY
DJ,0,EMPTY
DNB,0,EMPTY
DNR,0,EMPTY
DO,0,EMPTY
DPS,0,EMPTY
DRE,0,EMPTY
DTV,0,EMPTY
DWDP,0,EMPTY
EK,0,EMPTY
ENDP,0,EMPTY
ESV,0,EMPTY
ETFC,0,EMPTY
FBHS,0,EMPTY
FDC,0,EMPTY
FDO,0,EMPTY
FII,0,EMPTY
FL,0,EMPTY
FLIR,0,EMPTY
FLT,0,EMPTY
FNM,0,EMPTY
FRC,0,EMPTY
FRE,0,EMPTY
FRX,0,EMPTY
FTR,0,EMPTY
GAS,0,EMPTY
GGP,0,EMPTY
GLK,0,EMPTY
GMCR,0,EMPTY
GPS,0,EMPTY
GR,0,EMPTY
HAR,0,EMPTY
HBI,0,EMPTY
HCBK,0,EMPTY
HES,0,EMPTY
HFC,0,EMPTY
HNZ,0,EMPTY
HOLX,0,EMPTY
HSP,0,EMPTY
IGT,0,EMPTY
IPG,0,EMPTY
JCP,0,EMPTY
JDSU,0,EMPTY
JNPR,0,EMPTY
JNS,0,EMPTY
JNY,0,EMPTY
JOY,0,EMPTY
JWN,0,EMPTY
K,0,EMPTY
KFT,0,EMPTY
KRFT,0,EMPTY
KSE,0,EMPTY
KSU,0,EMPTY
LEH,0,EMPTY
LLL,0,EMPTY
LLTC,0,EMPTY
LM,0,EMPTY
LO,0,EMPTY
LSI,0,EMPTY
LVLT,0,EMPTY
LXK,0,EMPTY
MDP,0,EMPTY
MEE,0,EMPTY
MFE,0,EMPTY
MIL,0,EMPTY
MJN,0,EMPTY
MNK,0,EMPTY
MOLX,0,EMPTY
MON,0,EMPTY
MRO,0,EMPTY
MWW,0,EMPTY
MXIM,0,EMPTY
NBL,0,EMPTY
NCR,0,EMPTY
NLSN,0,EMPTY
NOVL,0,EMPTY
NVLS,0,EMPTY
NYX,0,EMPTY
ODP,0,EMPTY
OMX,0,EMPTY
PBCT,0,EMPTY
PCP,0,EMPTY
PDCO,0,EMPTY
PETM,0,EMPTY
PGN,0,EMPTY
PLL,0,EMPTY
PTV,0,EMPTY
PXD,0,EMPTY
QEP,0,EMPTY
RAI,0,EMPTY
RDC,0,EMPTY
RE,0,EMPTY
RHT,0,EMPTY
RRD,0,EMPTY
RSH,0,EMPTY
RTN,0,EMPTY
RX,0,EMPTY
SAI,0,EMPTY
SATS,0,EMPTY
SBL,0,EMPTY
SEE,0,EMPTY
SIAL,0,EMPTY
SIVB,0,EMPTY
SLR,0,EMPTY
SNI,0,EMPTY
SRCL,0,EMPTY
STJ,0,EMPTY
STR,0,EMPTY
SWN,0,EMPTY
SWY,0,EMPTY
TEG,0,EMPTY
TGNA,0,EMPTY
TIE,0,EMPTY
TIF,0,EMPTY
TLAB,0,EMPTY
TRB,0,EMPTY
TSG,0,EMPTY
TSS,0,EMPTY
TWC,0,EMPTY
TWTR,0,EMPTY
TYC,0,EMPTY
VAR,0,EMPTY
VIAB,0,EMPTY
WBA,0,EMPTY
WCG,0,EMPTY
WFM,0,EMPTY
WFR,0,EMPTY
WIN,0,EMPTY
WLTW,0,EMPTY
WPX,0,EMPTY
WYN,0,EMPTY
X,0,EMPTY
XEC,0,EMPTY
XL,0,EMPTY
XLNX,0,EMPTY
XTO,0,EMPTY
YHOO,0,EMPTY
