n_vault,pnl_vault,hit,mc_pct,pnl_janfeb,k,thresh,cats,hz,cluster
76,50,0.829,0.618,190,1.0,0.005,geo+tec,2,theme
39,16,0.308,0.68,-85,-0.5,0.005,pol+geo+tec,2,prefix
39,16,0.308,0.68,-85,-0.5,0.005,pol+geo+tec,2,none
37,-8,0.811,0.524,262,1.0,0.005,geo+tec,1,theme
68,-68,0.809,0.522,64,1.5,0.01,geo+tec,2,theme
20,-126,0.8,0.394,130,1.0,0.02,geo+tec,1,theme
33,-143,0.848,0.336,314,0.5,0.01,geo+tec,2,theme
30,-148,0.8,0.401,346,1.5,0.02,geo+tec,1,theme
21,-298,0.81,0.178,172,0.5,0.02,pol+geo+tec,1,none
20,-324,0.8,0.154,172,0.5,0.02,pol+geo+tec+oth,1,prefix
175,-681,0.817,0.16,-671,0.5,0.005,geo+tec,2,prefix
166,-1030,0.795,0.208,-830,1.5,0.005,geo+tec,2,prefix
71,-1032,0.746,0.032,419,0.5,0.005,pol+geo+tec,1,theme
109,-1150,0.771,0.17,894,1.0,0.02,pol+geo+tec,2,theme
180,-1243,0.811,0.206,83,1.0,0.02,pol+geo+tec+oth,1,theme
60,-1424,0.7,0.04,744,1.0,0.02,pol+geo+tec,1,theme
142,-1429,0.768,0.174,1712,1.5,0.005,pol+geo+tec,2,theme
295,-1676,0.837,0.032,68,0.5,0.005,pol+geo+tec+oth,1,theme
158,-1823,0.772,0.01,-313,0.5,0.005,pol+geo+tec,1,prefix
128,-1985,0.758,0.002,-420,0.5,0.01,pol+geo+tec,1,none
214,-2003,0.776,0.041,-1109,1.0,0.01,geo+tec,2,none
241,-2063,0.801,0.082,-718,1.0,0.02,pol+geo+tec+oth,1,none
214,-2105,0.771,0.081,-926,1.5,0.01,geo+tec,2,none
259,-2498,0.757,0.04,-325,1.5,0.005,pol+geo+tec,2,prefix
256,-2558,0.77,0.024,-467,1.0,0.005,pol+geo+tec,2,prefix
355,-2642,0.82,0.001,-576,0.5,0.005,pol+geo+tec+oth,1,none
557,-2693,0.785,0.164,-688,1.5,0.02,pol+geo+tec+oth,1,none
163,-2819,0.736,0.008,221,1.0,0.01,pol+geo+tec,1,none
1259,-2925,0.773,0.238,-2764,1.5,0.01,pol+geo+tec+oth,2,none
678,-3140,0.763,0.07,-1128,1.5,0.01,pol+geo+tec+oth,1,none
1160,-3346,0.795,0.054,-2320,1.0,0.01,pol+geo+tec+oth,2,none
587,-3375,0.784,0.019,-642,1.0,0.01,pol+geo+tec+oth,1,none
672,-3549,0.762,0.006,-728,1.0,0.005,pol+geo+tec+oth,1,none
962,-3857,0.777,0.02,-1196,1.0,0.01,pol+geo+tec+oth,2,prefix
752,-3917,0.831,0.0,-956,0.5,0.005,pol+geo+tec+oth,2,none
1041,-4309,0.739,0.018,-1501,1.5,0.005,pol+geo+tec+oth,2,prefix
