date,month,cat,q,side,mkt,cost,pmod,stake,won,pnl,clv,end
2026-01-01,2026-01,other,Will the Los Angeles Rams win the NFC West?,NO,0.87,0.878,0.899,100.0,1,13.9,-0.008,2026-01-06T12:00:00Z
2026-01-01,2026-01,other,Will Telstar 1963 win on 2026-01-11?,NO,0.76,0.772,0.79,66.28,1,19.57,-0.012,2026-01-11T13:30:00Z
2026-01-01,2026-01,other,Will Arsenal FC win on 2026-01-11?,YES,0.785,0.797,0.816,78.15,1,19.9,0.003,2026-01-11T14:00:00Z
2026-01-01,2026-01,other,Will the Tampa Bay Buccaneers win the NFC South?,NO,0.775,0.787,0.806,73.53,1,19.9,-0.152,2026-01-06T12:00:00Z
2026-01-01,2026-01,other,Will FC Bayern München win on 2026-01-11?,YES,0.86,0.868,0.89,100.73,1,15.32,0.007,2026-01-11T16:30:00Z
2026-01-02,2026-01,geo,Will Russia announce a Christmas truce?,NO,0.915,0.92,0.945,201.77,1,17.55,0.015,2026-01-07T00:00:00Z
2026-01-02,2026-01,other,Will FC Internazionale Milano win on 2026-01-07?,YES,0.715,0.727,0.742,47.08,1,17.68,-0.022,2026-01-07T19:45:00Z
2026-01-02,2026-01,other,Will SSC Napoli win on 2026-01-07?,YES,0.69,0.702,0.715,37.0,0,-37.0,0.023,2026-01-07T17:30:00Z
2026-01-02,2026-01,other,Will Manchester City FC win on 2026-01-07?,YES,0.705,0.717,0.731,42.87,0,-42.87,-0.022,2026-01-07T19:30:00Z
2026-01-02,2026-01,other,Will Hellas Verona FC win on 2026-01-07?,NO,0.88,0.888,0.908,100.44,1,12.67,0.017,2026-01-07T17:30:00Z
2026-01-02,2026-01,other,Will Liverpool FC win on 2026-01-12?,YES,0.81,0.818,0.841,100.57,1,22.38,0.022,2026-01-12T19:45:00Z
2026-01-03,2026-01,geo,Will a White Spoon win season 2 of Culinary Class Wars?,YES,0.735,0.747,0.773,171.28,1,58.01,0.168,2026-01-13T00:00:00Z
2026-01-03,2026-01,other,Will Liverpool FC win on 2026-01-08?,NO,0.815,0.823,0.846,101.37,1,21.8,0.012,2026-01-08T20:00:00Z
2026-01-03,2026-01,other,Will AC Milan win on 2026-01-08?,YES,0.685,0.697,0.71,35.16,0,-35.16,-0.007,2026-01-08T19:45:00Z
2026-01-03,2026-01,other,Will Arsenal FC vs. Liverpool FC end in a draw?,NO,0.785,0.797,0.816,78.85,0,-78.85,-0.012,2026-01-08T20:00:00Z
2026-01-04,2026-01,other,Will FC Bayern München win on 2026-01-14?,YES,0.765,0.777,0.795,68.79,1,19.74,-0.002,2026-01-14T19:30:00Z
2026-01-05,2026-01,other,Will AC Milan win on 2026-01-15?,YES,0.695,0.707,0.721,38.76,1,16.06,-0.322,2026-01-15T19:45:00Z
2026-01-05,2026-01,other,"US x Venezuela military engagement by January 15, 2026?",NO,0.895,0.903,0.922,100.81,0,-100.81,-0.008,2026-01-15T00:00:00Z
2026-01-06,2026-01,other,Will Arsenal FC win on 2026-01-11?,YES,0.785,0.797,0.816,77.73,1,19.8,0.003,2026-01-11T14:00:00Z
2026-01-06,2026-01,other,Will FC Bayern München win on 2026-01-11?,YES,0.865,0.873,0.894,100.0,1,14.55,0.002,2026-01-11T16:30:00Z
2026-01-06,2026-01,other,Will Telstar 1963 win on 2026-01-11?,NO,0.755,0.767,0.785,64.0,1,19.44,-0.007,2026-01-11T13:30:00Z
