year,n_train,n_test,n_stocks_median,auc,base_rate
2012,113885,21093,406,0.5056798860360951,0.5010192955008771
2013,135357,21798,420,0.5006395170289814,0.4994953665473897
2014,157115,22635,437,0.5114249008764098,0.5012149326264634
2015,179722,23571,444,0.5110148050357237,0.4999787874931059
2016,202833,23585,454,0.48818051035061927,0.49963960144159425
2017,226385,23936,459,0.5065712604098898,0.5
2018,250309,24347,469,0.5079352847908736,0.5012116482523514
2019,275107,24520,471,0.51688958309909,0.5012234910277324
2020,299617,25381,480,0.5138807145061715,0.4993499074110555
2021,324500,25170,484,0.4840037500340318,0.5010727056019071
2022,349655,25458,490,0.5098338210131799,0.5002356823002593
2023,375104,25573,492,0.5274861579221384,0.5007234192312204
2024,400665,25755,495,0.5118294753506771,0.5007959619491361
2025,426908,25924,499,0.5016892904117839,0.5
2026,452828,12994,500,0.5037797507871411,0.5003847929813761
